sample_score	sample_rank	glyco_score	glyco_rank	sample	w_glyco	sample_diseases	glyco_diseases
70	2	70	2	HP:0002808|HP:0011220|HP:0010864|HP:0000821|HP:0000975|HP:0011276|HP:0008430|HP:0000365|HP:0000248|HP:0002240	HP:0000365|HP:0000821|HP:0011276|HP:0010864|HP:0002808|HP:0000248|HP:0008430|HP:0000975|HP:0010471|HP:0003541	MONDO:0010073|MONDO:0009914	MONDO:0009262|MONDO:0010073|MONDO:0010074
71	2	69	1	HP:0005595|HP:0002808|HP:0000280|HP:0000943|HP:0001263|HP:0000975|HP:0001508|HP:0008430|HP:0011220|HP:0002240	HP:0001508|HP:0005595|HP:0008430|HP:0000280|HP:0002808|HP:0002240|HP:0000943|HP:0011220|HP:0010471|HP:0003541	MONDO:0010073|MONDO:0009914	MONDO:0009914
72	1	71	1	HP:0005595|HP:0010864|HP:0001263|HP:0000821|HP:0011276|HP:0001508|HP:0008430|HP:0000365|HP:0000248|HP:0002240	HP:0001508|HP:0008430|HP:0005595|HP:0000365|HP:0011276|HP:0010864|HP:0002240|HP:0000248|HP:0010471|HP:0003541	MONDO:0009914|MONDO:0010073	MONDO:0009914
72	1	70	1	HP:0005595|HP:0002808|HP:0010864|HP:0000943|HP:0001508|HP:0000248|HP:0000365|HP:0100578|HP:0011220|HP:0002240	HP:0002808|HP:0005595|HP:0000248|HP:0001508|HP:0010864|HP:0011220|HP:0002240|HP:0000943|HP:0010471|HP:0003541	MONDO:0019306	MONDO:0010074
68	1	67	1	HP:0002808|HP:0010864|HP:0000943|HP:0001263|HP:0011276|HP:0000975|HP:0008430|HP:0100578|HP:0011220|HP:0002240	HP:0002240|HP:0000943|HP:0011276|HP:0000975|HP:0001263|HP:0002808|HP:0010864|HP:0100578|HP:0010471|HP:0003541	MONDO:0010073	MONDO:0010074
69	8	68	1	HP:0005595|HP:0010864|HP:0000943|HP:0001263|HP:0002240|HP:0011276|HP:0001508|HP:0100578|HP:0000365|HP:0000280	HP:0001508|HP:0000943|HP:0010864|HP:0001263|HP:0002240|HP:0100578|HP:0000365|HP:0000280|HP:0010471|HP:0003541	MONDO:0019306|MONDO:0007239|MONDO:0018853|MONDO:0009737|MONDO:0018781|MONDO:0008291|MONDO:0007554|MONDO:0017851|MONDO:0019554|MONDO:0009655|MONDO:0007511|MONDO:0009658|MONDO:0009656	MONDO:0009738
71	2	70	1	HP:0005595|HP:0002808|HP:0010864|HP:0000943|HP:0000975|HP:0001508|HP:0008430|HP:0000365|HP:0000248|HP:0002240	HP:0000248|HP:0002808|HP:0000943|HP:0008430|HP:0000975|HP:0001508|HP:0005595|HP:0002240|HP:0010471|HP:0003541	MONDO:0009914|MONDO:0010073	MONDO:0009914
71	2	71	1	HP:0005595|HP:0011220|HP:0002808|HP:0010864|HP:0000821|HP:0000975|HP:0100578|HP:0000365|HP:0000248|HP:0002240	HP:0000975|HP:0002808|HP:0010864|HP:0000821|HP:0002240|HP:0000365|HP:0000248|HP:0011220|HP:0010471|HP:0003541	MONDO:0019306|MONDO:0018853|MONDO:0007239	
70	2	69	2	HP:0005595|HP:0002808|HP:0010864|HP:0000943|HP:0000821|HP:0001508|HP:0008430|HP:0100578|HP:0000365|HP:0000280	HP:0008430|HP:0010864|HP:0000943|HP:0005595|HP:0000280|HP:0000821|HP:0001508|HP:0002808|HP:0010471|HP:0003541	MONDO:0010073|MONDO:0009914	MONDO:0010074|MONDO:0010073
70	1	69	1	HP:0005595|HP:0002808|HP:0000280|HP:0000943|HP:0000975|HP:0011276|HP:0008430|HP:0100578|HP:0000248|HP:0002240	HP:0011276|HP:0002240|HP:0100578|HP:0000248|HP:0002808|HP:0005595|HP:0000975|HP:0000943|HP:0010471|HP:0003541	MONDO:0009914	
