mondo_id	num_glycophen	num_nonglyco	glycophenotypes	non_glycophenotypes
MONDO:0005508	0	30		HP:0100240|HP:0001697|HP:0002986|HP:0003276|HP:0003067|HP:0007256|HP:0001324|HP:0002757|HP:0006765|HP:0004374|HP:0002797|HP:0002653|HP:0004322|HP:0006824|HP:0010885|HP:0000164|HP:0002823|HP:0002758|HP:0002983|HP:0002992|HP:0003022|HP:0003042|HP:0002617|HP:0002762|HP:0003063|HP:0001508|HP:0002857|HP:0000463|HP:0002650|HP:0000944
MONDO:0007526	0	35		HP:0007469|HP:0001999|HP:0100813|HP:0000256|HP:0000506|HP:0010511|HP:0000160|HP:0000938|HP:0000653|HP:0000286|HP:0001166|HP:0000963|HP:0001642|HP:0002209|HP:0000230|HP:0005692|HP:0004322|HP:0000431|HP:0001000|HP:0002751|HP:0001763|HP:0002652|HP:0000973|HP:0001263|HP:0000535|HP:0001075|HP:0006481|HP:0001371|HP:0003202|HP:0000974|HP:0001650|HP:0000028|HP:0009125|HP:0001252|HP:0005328
MONDO:0007738	0	71		HP:0030680|HP:0001653|HP:0002750|HP:0003834|HP:0008905|HP:0001270|HP:0000687|HP:0002945|HP:0002515|HP:0002092|HP:0000316|HP:0000914|HP:0000684|HP:0008551|HP:0005180|HP:0009882|HP:0001659|HP:0000218|HP:0002938|HP:0001718|HP:0100490|HP:0003037|HP:0001642|HP:0010585|HP:0003090|HP:0003093|HP:0001629|HP:0003312|HP:0100864|HP:0001552|HP:0045075|HP:0003071|HP:0002655|HP:0009179|HP:0006462|HP:0003031|HP:0006610|HP:0002751|HP:0000365|HP:0001156|HP:0001763|HP:0002194|HP:0002982|HP:0003417|HP:0003022|HP:0003040|HP:0007598|HP:0003301|HP:0008450|HP:0010582|HP:0003184|HP:0001714|HP:0006067|HP:0000337|HP:0000535|HP:0003042|HP:0003521|HP:0001371|HP:0002553|HP:0002967|HP:0001650|HP:0004976|HP:0006471|HP:0010049|HP:0000343|HP:0000691|HP:0002857|HP:0010446|HP:0001762|HP:0002829|HP:0000470
MONDO:0008265	0	18		HP:0001626|HP:0003418|HP:0003155|HP:0002617|HP:0002240|HP:0000107|HP:0006557|HP:0002239|HP:0001541|HP:0001732|HP:0002093|HP:0003573|HP:0002027|HP:0000707|HP:0005562|HP:0002020|HP:0003270|HP:0008872
MONDO:0008701	0	43		HP:0001773|HP:0030680|HP:0000474|HP:0100541|HP:0002007|HP:0010675|HP:0000774|HP:0000256|HP:0004331|HP:0000916|HP:0000347|HP:0001538|HP:0001537|HP:0006640|HP:0002757|HP:0003175|HP:0004279|HP:0000894|HP:0001552|HP:0003510|HP:0003196|HP:0005280|HP:0004606|HP:0003336|HP:0001789|HP:0005716|HP:0006703|HP:0000476|HP:0006489|HP:0002983|HP:0010660|HP:0003270|HP:0001561|HP:0003521|HP:0000923|HP:0000773|HP:0002984|HP:0012368|HP:0000882|HP:0000343|HP:0000463|HP:0000470|HP:0010306
MONDO:0008830	1	69	HP:0012068	HP:0000768|HP:0001249|HP:0000943|HP:0001653|HP:0002750|HP:0100729|HP:0000179|HP:0012471|HP:0001609|HP:0002205|HP:0002014|HP:0002684|HP:0001922|HP:0000316|HP:0008551|HP:0000750|HP:0004337|HP:0001537|HP:0000518|HP:0002376|HP:0100790|HP:0003103|HP:0002167|HP:0001061|HP:0000252|HP:0100660|HP:0000389|HP:0000280|HP:0001257|HP:0000926|HP:0001744|HP:0003304|HP:0003302|HP:0004568|HP:0005280|HP:0002240|HP:0001875|HP:0004322|HP:0000431|HP:0003196|HP:0002024|HP:0011276|HP:0000670|HP:0002059|HP:0001763|HP:0008430|HP:0002756|HP:0000053|HP:0000283|HP:0001388|HP:0000158|HP:0002997|HP:0000248|HP:0001071|HP:0002738|HP:0001387|HP:0002360|HP:0001939|HP:0001250|HP:0000463|HP:0000023|HP:0000212|HP:0001369|HP:0001252|HP:0000154|HP:0002808|HP:0001290|HP:0002650|HP:0000303
MONDO:0008897	0	14		HP:0003771|HP:0031485|HP:0003761|HP:0005572|HP:0000951|HP:0004934|HP:0005571|HP:0000679|HP:0100774|HP:0000121|HP:0007799|HP:0006297|HP:0001102|HP:0002905
MONDO:0008907	1	51	HP:0003642	HP:0000107|HP:0001271|HP:0001265|HP:0001976|HP:0003146|HP:0001638|HP:0001560|HP:0002014|HP:0000938|HP:0001324|HP:0000100|HP:0000093|HP:0002720|HP:0003073|HP:0002013|HP:0001929|HP:0000252|HP:0000815|HP:0007552|HP:0008209|HP:0001397|HP:0000821|HP:0004315|HP:0005280|HP:0002240|HP:0008151|HP:0008872|HP:0001894|HP:0002910|HP:0001698|HP:0000639|HP:0001395|HP:0002401|HP:0001790|HP:0000114|HP:0000510|HP:0006955|HP:0000565|HP:0001251|HP:0000219|HP:0001263|HP:0001371|HP:0001250|HP:0000400|HP:0001508|HP:0001252|HP:0003186|HP:0003645|HP:0002808|HP:0001290|HP:0011220
MONDO:0008908	2	51	HP:0003160|HP:0012301	HP:0000767|HP:0009765|HP:0010808|HP:0000733|HP:0001976|HP:0000699|HP:0000256|HP:0009623|HP:0011858|HP:0002317|HP:0000938|HP:0000358|HP:0000574|HP:0010864|HP:0000527|HP:0003423|HP:0000742|HP:0001929|HP:0000252|HP:0000494|HP:0000278|HP:0000233|HP:0001629|HP:0000098|HP:0004322|HP:0008070|HP:0000426|HP:0001007|HP:0001572|HP:0000164|HP:0001763|HP:0000407|HP:0000194|HP:0000248|HP:0003100|HP:0001276|HP:0004841|HP:0001250|HP:0001547|HP:0000400|HP:0000212|HP:0002673|HP:0008897|HP:0001508|HP:0007466|HP:0001290|HP:0000154|HP:0000718|HP:0000470|HP:0000232|HP:0006887
MONDO:0008999	0	86		HP:0007737|HP:0100874|HP:0006101|HP:0000574|HP:0003272|HP:0000527|HP:0000954|HP:0000639|HP:0001612|HP:0001882|HP:0001263|HP:0000322|HP:0001634|HP:0004283|HP:0007703|HP:0000648|HP:0000505|HP:0000823|HP:0000297|HP:0000568|HP:0002938|HP:0001166|HP:0001629|HP:0000426|HP:0001572|HP:0001763|HP:0001135|HP:0000675|HP:0011308|HP:0009804|HP:0001852|HP:0000028|HP:0001531|HP:0001252|HP:0001290|HP:0001249|HP:0001270|HP:0000384|HP:0000767|HP:0000347|HP:0002943|HP:0200046|HP:0000662|HP:0007074|HP:0000444|HP:0000824|HP:0002167|HP:0000494|HP:0000294|HP:0005692|HP:0004322|HP:0001000|HP:0001511|HP:0001513|HP:0000407|HP:0000194|HP:0001601|HP:0000545|HP:0002705|HP:0008915|HP:0010049|HP:0002857|HP:0002650|HP:0001321|HP:0010669|HP:0001382|HP:0000486|HP:0009906|HP:0001518|HP:0001558|HP:0000252|HP:0001182|HP:0001875|HP:0008872|HP:0010743|HP:0011504|HP:0001319|HP:0010295|HP:0001250|HP:0002967|HP:0004209|HP:0000212|HP:0000612|HP:0000327|HP:0002808|HP:0007663
