mondo_id	num_glycophen	num_nonglyco	glycophenotypes	non_glycophenotypes
MONDO:0009020	0	6		HP:0007856|HP:0001939|HP:0000495|HP:0000613|HP:0007754|HP:0001131
MONDO:0009107	0	58		HP:0008434|HP:0003026|HP:0000368|HP:0002093|HP:0008873|HP:0009623|HP:0000256|HP:0001609|HP:0002205|HP:0003273|HP:0000175|HP:0000316|HP:0000347|HP:0009381|HP:0002947|HP:0000396|HP:0011001|HP:0008921|HP:0008608|HP:0001385|HP:0100490|HP:0100761|HP:0003312|HP:0002176|HP:0005280|HP:0005692|HP:0003071|HP:0000889|HP:0006487|HP:0001511|HP:0002751|HP:0000365|HP:0000592|HP:0000293|HP:0002983|HP:0001234|HP:0009465|HP:0010582|HP:0011800|HP:0001387|HP:0001076|HP:0010723|HP:0009748|HP:0002808|HP:0003042|HP:0000772|HP:0005930|HP:0000974|HP:0004894|HP:0000028|HP:0002514|HP:0009773|HP:0006646|HP:0001252|HP:0001762|HP:0001163|HP:0002650|HP:0000944
MONDO:0009134	0	7		HP:0010972|HP:0003655|HP:0001923|HP:0001744|HP:0000952|HP:0001081|HP:0003352
MONDO:0009189	0	18		HP:0003370|HP:0002656|HP:0002654|HP:0001385|HP:0001156|HP:0002758|HP:0200055|HP:0031174|HP:0010049|HP:0008802|HP:0000175|HP:0004209|HP:0004322|HP:0003045|HP:0001762|HP:0002829|HP:0002650|HP:0006376
MONDO:0009218	0	26		HP:0001270|HP:0000737|HP:0001249|HP:0040139|HP:0002093|HP:0002205|HP:0002206|HP:0007957|HP:0001386|HP:0001744|HP:0002240|HP:0004322|HP:0010729|HP:0002829|HP:0000939|HP:0000639|HP:0001601|HP:0000504|HP:0001387|HP:0001263|HP:0001369|HP:0007470|HP:0001508|HP:0001615|HP:0002808|HP:0003199
MONDO:0009254	2	57	HP:0008155|HP:0010471	HP:0000445|HP:0001249|HP:0000943|HP:0000970|HP:0005453|HP:0012236|HP:0000958|HP:0000179|HP:0001271|HP:0002007|HP:0002205|HP:0007256|HP:0000316|HP:0000914|HP:0001922|HP:0000503|HP:0001597|HP:0000574|HP:0010864|HP:0100790|HP:0001063|HP:0002938|HP:0007957|HP:0005595|HP:0000280|HP:0000821|HP:0000975|HP:0001744|HP:0001552|HP:0002240|HP:0004322|HP:0005264|HP:0011276|HP:0004298|HP:0000365|HP:0001640|HP:0002059|HP:0000164|HP:0008430|HP:0001014|HP:0000158|HP:0100578|HP:0000248|HP:0001263|HP:0002510|HP:0004630|HP:0001371|HP:0001250|HP:0002673|HP:0001508|HP:0001252|HP:0008436|HP:0002808|HP:0002650|HP:0003199|HP:0011220|HP:0004558
MONDO:0009260	1	27	HP:0008166	HP:0001249|HP:0002007|HP:0000998|HP:0001654|HP:0000316|HP:0001922|HP:0001644|HP:0000280|HP:0001744|HP:0003510|HP:0000900|HP:0004568|HP:0002240|HP:0010729|HP:0000079|HP:0001635|HP:0000470|HP:0001387|HP:0001071|HP:0008479|HP:0001639|HP:0000023|HP:0000212|HP:0007313|HP:0002808|HP:0002650|HP:0000457
MONDO:0009261	1	15	HP:0008166	HP:0007272|HP:0002510|HP:0002123|HP:0002059|HP:0000648|HP:0000271|HP:0001982|HP:0002119|HP:0002673|HP:0000926|HP:0001743|HP:0007281|HP:0001288|HP:0001251|HP:0001392
MONDO:0009262	1	16	HP:0008166	HP:0002869|HP:0003651|HP:0001871|HP:0003202|HP:0002506|HP:0000271|HP:0007759|HP:0001350|HP:0008430|HP:0001256|HP:0000926|HP:0003274|HP:0004322|HP:0002808|HP:0002650|HP:0001332
MONDO:0009265	0	42		HP:0002750|HP:0002039|HP:0001394|HP:0000225|HP:0001541|HP:0002092|HP:0001637|HP:0010741|HP:0000978|HP:0007401|HP:0000790|HP:0000938|HP:0010702|HP:0011001|HP:0000093|HP:0002113|HP:0004975|HP:0001744|HP:0002027|HP:0002797|HP:0002653|HP:0002240|HP:0001903|HP:0010885|HP:0001876|HP:0000421|HP:0002758|HP:0001698|HP:0002756|HP:0002094|HP:0002953|HP:0001873|HP:0001882|HP:0000822|HP:0005230|HP:0006775|HP:0001971|HP:0000478|HP:0006530|HP:0002808|HP:0000953|HP:0000823
MONDO:0009266	0	32		HP:0011968|HP:0000657|HP:0002098|HP:0002205|HP:0000486|HP:0001538|HP:0000211|HP:0012735|HP:0000602|HP:0002123|HP:0002793|HP:0002015|HP:0002344|HP:0001257|HP:0001347|HP:0001744|HP:0002240|HP:0001903|HP:0002063|HP:0002059|HP:0002100|HP:0000565|HP:0001298|HP:0002104|HP:0001873|HP:0001332|HP:0001263|HP:0002483|HP:0001695|HP:0001371|HP:0001250|HP:0001508
MONDO:0009267	0	42		HP:0001270|HP:0002659|HP:0002750|HP:0001637|HP:0002092|HP:0002205|HP:0004380|HP:0004934|HP:0000790|HP:0000486|HP:0010702|HP:0000602|HP:0011001|HP:0000093|HP:0002167|HP:0002123|HP:0002344|HP:0001744|HP:0002797|HP:0001288|HP:0004382|HP:0002240|HP:0004322|HP:0001903|HP:0002653|HP:0001789|HP:0010885|HP:0001876|HP:0001698|HP:0000726|HP:0001298|HP:0001251|HP:0001873|HP:0002313|HP:0006530|HP:0012378|HP:0000716|HP:0007817|HP:0004325|HP:0003656|HP:0001336|HP:0000823
MONDO:0009268	0	22		HP:0004963|HP:0004380|HP:0000486|HP:0000623|HP:0001718|HP:0007975|HP:0007885|HP:0007588|HP:0000238|HP:0007759|HP:0001744|HP:0004382|HP:0002240|HP:0001761|HP:0000666|HP:0001876|HP:0001640|HP:0000365|HP:0001635|HP:0001276|HP:0001250|HP:0012303
MONDO:0009288	1	24	HP:0001943	HP:0000660|HP:0003128|HP:0001997|HP:0000155|HP:0000295|HP:0001538|HP:0000097|HP:0000093|HP:0003077|HP:0001733|HP:0002240|HP:0001875|HP:0004322|HP:0002718|HP:0000939|HP:0002910|HP:0001114|HP:0000787|HP:0000822|HP:0000991|HP:0001402|HP:0012213|HP:0000105|HP:0000823
MONDO:0009398	0	36		HP:0001249|HP:0000272|HP:0001831|HP:0000316|HP:0000358|HP:0000455|HP:0010864|HP:0002019|HP:0009882|HP:0000238|HP:0001182|HP:0003196|HP:0001545|HP:0000204|HP:0000431|HP:0002251|HP:0003155|HP:0000582|HP:0000407|HP:0000637|HP:0001344|HP:0002714|HP:0010804|HP:0011800|HP:0001216|HP:0000219|HP:0000322|HP:0001090|HP:0001250|HP:0002553|HP:0001792|HP:0001252|HP:0000175|HP:0001290|HP:0001357|HP:0000303
MONDO:0009499	0	44		HP:0000737|HP:0011968|HP:0001945|HP:0002205|HP:0011096|HP:0007305|HP:0001954|HP:0002191|HP:0002376|HP:0002676|HP:0002123|HP:0010318|HP:0002013|HP:0000238|HP:0002506|HP:0002922|HP:0000648|HP:0001257|HP:0004374|HP:0007141|HP:0001288|HP:0025013|HP:0002353|HP:0000365|HP:0000407|HP:0000639|HP:0000763|HP:0002333|HP:0000618|HP:0001251|HP:0006801|HP:0001263|HP:0001276|HP:0002180|HP:0001824|HP:0003457|HP:0001250|HP:0001172|HP:0007928|HP:0000762|HP:0001508|HP:0001252|HP:0001973|HP:0000505
MONDO:0009511	0	71		HP:0000768|HP:0001270|HP:0002750|HP:0002974|HP:0003834|HP:0008905|HP:0009880|HP:0002007|HP:0000774|HP:0000316|HP:0005616|HP:0000160|HP:0000465|HP:0000938|HP:0008551|HP:0000574|HP:0002757|HP:0000878|HP:0006099|HP:0000308|HP:0008593|HP:0000238|HP:0000494|HP:0001840|HP:0002650|HP:0005280|HP:0002162|HP:0004322|HP:0001647|HP:0002827|HP:0001222|HP:0000939|HP:0002987|HP:0001640|HP:0000592|HP:0001763|HP:0004298|HP:0012095|HP:0001762|HP:0040160|HP:0001388|HP:0011800|HP:0003051|HP:0000565|HP:0000248|HP:0000973|HP:0001087|HP:0001655|HP:0001712|HP:0005021|HP:0001852|HP:0000540|HP:0000646|HP:0002616|HP:0001090|HP:0000369|HP:0012368|HP:0000776|HP:0000974|HP:0000023|HP:0004976|HP:0000274|HP:0001634|HP:0000691|HP:0001252|HP:0001772|HP:0002857|HP:0000175|HP:0001290|HP:0000470|HP:0011220
MONDO:0009561	1	78	HP:0005978	HP:0000768|HP:0001249|HP:0000943|HP:0002750|HP:0000272|HP:0100240|HP:0000687|HP:0011039|HP:0001260|HP:0002007|HP:0000998|HP:0000256|HP:0002684|HP:0002205|HP:0001922|HP:0000316|HP:0000574|HP:0001510|HP:0000518|HP:0000286|HP:0002066|HP:0007957|HP:0001385|HP:0005469|HP:0007232|HP:0010807|HP:0000294|HP:0000389|HP:0000280|HP:0001257|HP:0001347|HP:0001744|HP:0004313|HP:0003302|HP:0000336|HP:0002650|HP:0002240|HP:0005280|HP:0000303|HP:0002718|HP:0003487|HP:0006487|HP:0002171|HP:0010885|HP:0001272|HP:0000365|HP:0011354|HP:0002059|HP:0000407|HP:0000689|HP:0005619|HP:0000639|HP:0002980|HP:0002516|HP:0002652|HP:0000158|HP:0011800|HP:0000738|HP:0008821|HP:0004570|HP:0001263|HP:0000337|HP:0004493|HP:0012448|HP:0000189|HP:0001547|HP:0000400|HP:0007772|HP:0000023|HP:0000212|HP:0001369|HP:0001252|HP:0000546|HP:0002070|HP:0002808|HP:0001290|HP:0000470|HP:0000457
MONDO:0009562	1	15	HP:0012066	HP:0002719|HP:0001249|HP:0001939|HP:0005247|HP:0001999|HP:0002167|HP:0000365|HP:0001250|HP:0001014|HP:0002205|HP:0000752|HP:0000503|HP:0001290|HP:0007108|HP:0000718
MONDO:0009590	0	21		HP:0001271|HP:0001260|HP:0001265|HP:0011096|HP:0001324|HP:0007305|HP:0002371|HP:0002376|HP:0002066|HP:0000020|HP:0002015|HP:0001285|HP:0001347|HP:0002518|HP:0003487|HP:0001263|HP:0001250|HP:0000762|HP:0001252|HP:0001290|HP:0001268
MONDO:0009647	1	6	HP:0003610	HP:0001249|HP:0007957|HP:0005723|HP:0000926|HP:0002655|HP:0003510
MONDO:0009650	2	74	HP:0008155|HP:0003538	HP:0001048|HP:0003026|HP:0000348|HP:0001654|HP:0001609|HP:0000485|HP:0002684|HP:0004562|HP:0030148|HP:0002205|HP:0000938|HP:0001538|HP:0006362|HP:0001131|HP:0001537|HP:0003423|HP:0000286|HP:0001659|HP:0003311|HP:0100790|HP:0100540|HP:0003300|HP:0009769|HP:0000963|HP:0007759|HP:0000765|HP:0000280|HP:0001744|HP:0003016|HP:0003333|HP:0005280|HP:0002240|HP:0002837|HP:0002827|HP:0004322|HP:0012639|HP:0003414|HP:0006610|HP:0003180|HP:0009092|HP:0001640|HP:0000403|HP:0002756|HP:0002230|HP:0001635|HP:0006532|HP:0000158|HP:0011344|HP:0008470|HP:0001263|HP:0001319|HP:0000535|HP:0008850|HP:0002869|HP:0200020|HP:0001824|HP:0001547|HP:0001639|HP:0003264|HP:0000023|HP:0002690|HP:0100679|HP:0000882|HP:0002196|HP:0001508|HP:0000343|HP:0001498|HP:0000341|HP:0001540|HP:0001762|HP:0002808|HP:0000463|HP:0000187|HP:0001171
MONDO:0009655	1	20	HP:0002159	HP:0001249|HP:0000943|HP:0002014|HP:0000250|HP:0003309|HP:0000280|HP:0001744|HP:0001670|HP:0000900|HP:0002240|HP:0000664|HP:0001007|HP:0000365|HP:0002208|HP:0001507|HP:0000752|HP:0001387|HP:0002360|HP:0002788|HP:0001250
MONDO:0009656	1	22	HP:0002159	HP:0001249|HP:0000943|HP:0002014|HP:0000250|HP:0003309|HP:0002344|HP:0000280|HP:0001744|HP:0001670|HP:0000900|HP:0002240|HP:0000664|HP:0001007|HP:0000365|HP:0001640|HP:0002208|HP:0000752|HP:0001387|HP:0002360|HP:0002788|HP:0001250|HP:0000718
MONDO:0009657	2	29	HP:0002159|HP:0003653	HP:0001249|HP:0000943|HP:0001270|HP:0002014|HP:0000250|HP:0002371|HP:0100790|HP:0003309|HP:0002015|HP:0000280|HP:0001744|HP:0001670|HP:0000900|HP:0002240|HP:0000664|HP:0001007|HP:0002751|HP:0000365|HP:0000268|HP:0002208|HP:0001507|HP:0000510|HP:0000752|HP:0002333|HP:0001387|HP:0002360|HP:0002788|HP:0001250|HP:0000232
MONDO:0009658	2	33	HP:0002159|HP:0003653	HP:0001249|HP:0000943|HP:0000179|HP:0001260|HP:0002007|HP:0002014|HP:0000574|HP:0003309|HP:0002015|HP:0000280|HP:0001744|HP:0001670|HP:0000900|HP:0002307|HP:0005280|HP:0002240|HP:0000664|HP:0001007|HP:0000365|HP:0002208|HP:0001507|HP:0001344|HP:0000752|HP:0001387|HP:0002360|HP:0002788|HP:0001371|HP:0001250|HP:0000369|HP:0000154|HP:0000463|HP:0000470|HP:0011220
MONDO:0009661	2	50	HP:0008155|HP:0008301	HP:0000943|HP:0000179|HP:0000885|HP:0000256|HP:0001638|HP:0001654|HP:0000246|HP:0012185|HP:0001537|HP:0100790|HP:0003311|HP:0002938|HP:0000505|HP:0001385|HP:0003300|HP:0000238|HP:0007759|HP:0000389|HP:0000280|HP:0001744|HP:0003016|HP:0002318|HP:0100543|HP:0005280|HP:0002240|HP:0009928|HP:0002866|HP:0010885|HP:0002656|HP:0001007|HP:0000884|HP:0000268|HP:0000365|HP:0000501|HP:0003274|HP:0000158|HP:0003025|HP:0001387|HP:0011941|HP:0002788|HP:0002869|HP:0003521|HP:0000023|HP:0008432|HP:0001508|HP:0002857|HP:0002808|HP:0000470|HP:0001171|HP:0000944
MONDO:0009662	3	53	HP:0008155|HP:0002159|HP:0008301	HP:0000768|HP:0001249|HP:0000943|HP:0000687|HP:0002103|HP:0100026|HP:0001541|HP:0000256|HP:0001638|HP:0001654|HP:0002205|HP:0000574|HP:0006119|HP:0001537|HP:0003272|HP:0005019|HP:0003311|HP:0007957|HP:0000238|HP:0001840|HP:0000280|HP:0002465|HP:0000926|HP:0001744|HP:0001004|HP:0008807|HP:0002650|HP:0004607|HP:0002240|HP:0004322|HP:0005952|HP:0001789|HP:0003375|HP:0001007|HP:0000365|HP:0008430|HP:0005619|HP:0010655|HP:0001387|HP:0100625|HP:0002180|HP:0002788|HP:0002680|HP:0001371|HP:0012368|HP:0000023|HP:0000212|HP:0008897|HP:0012115|HP:0001252|HP:0002857|HP:0001762|HP:0000470
MONDO:0009678	0	61		HP:0001302|HP:0001249|HP:0003236|HP:0000767|HP:0001321|HP:0002093|HP:0007260|HP:0002119|HP:0001685|HP:0001324|HP:0000486|HP:0001631|HP:0000750|HP:0003560|HP:0010864|HP:0000518|HP:0000568|HP:0002084|HP:0008981|HP:0000505|HP:0001644|HP:0001669|HP:0100490|HP:0000541|HP:0002267|HP:0000238|HP:0001642|HP:0000648|HP:0003198|HP:0002350|HP:0007973|HP:0001288|HP:0003306|HP:0001274|HP:0002353|HP:0001511|HP:0000268|HP:0001360|HP:0000501|HP:0001612|HP:0003741|HP:0000248|HP:0002365|HP:0001263|HP:0000545|HP:0000540|HP:0001371|HP:0001250|HP:0003457|HP:0003202|HP:0007348|HP:0030046|HP:0031882|HP:0001252|HP:0001284|HP:0000298|HP:0002126|HP:0001290|HP:0002650|HP:0001357|HP:0007370
MONDO:0009727	0	23		HP:0000272|HP:0003185|HP:0002093|HP:0002089|HP:0000175|HP:0000347|HP:0006375|HP:0002947|HP:0002938|HP:0000926|HP:0005280|HP:0003440|HP:0003180|HP:0005819|HP:0002983|HP:0003417|HP:0011800|HP:0000470|HP:0005257|HP:0001939|HP:0001852|HP:0001762|HP:0002650
MONDO:0009737	1	16	HP:0008166	HP:0001249|HP:0000943|HP:0007957|HP:0001433|HP:0000365|HP:0003271|HP:0001250|HP:0000524|HP:0007759|HP:0000280|HP:0001028|HP:0001790|HP:0002652|HP:0003468|HP:0003510|HP:0010729
MONDO:0009756	0	28		HP:0001249|HP:0001265|HP:0003609|HP:0002205|HP:0002716|HP:0001324|HP:0001538|HP:0002019|HP:0006579|HP:0002013|HP:0001257|HP:0001744|HP:0002240|HP:0004322|HP:0010729|HP:0008872|HP:0002063|HP:0000939|HP:0002305|HP:0001982|HP:0001263|HP:0002207|HP:0004333|HP:0000991|HP:0001935|HP:0001508|HP:0001252|HP:0001290
MONDO:0009757	0	27		HP:0001249|HP:0001260|HP:0002185|HP:0000709|HP:0001791|HP:0002371|HP:0006583|HP:0006579|HP:0002015|HP:0003349|HP:0001257|HP:0000511|HP:0001744|HP:0002529|HP:0002240|HP:0003464|HP:0000726|HP:0003640|HP:0001982|HP:0001251|HP:0001332|HP:0001263|HP:0004333|HP:0001250|HP:0001252|HP:0001290|HP:0002524
MONDO:0009856	0	114		HP:0001773|HP:0001363|HP:0000368|HP:0002007|HP:0000047|HP:0001831|HP:0001671|HP:0000465|HP:0000411|HP:0000260|HP:0002120|HP:0000954|HP:0000690|HP:0000659|HP:0000508|HP:0003196|HP:0000960|HP:0002983|HP:0000639|HP:0001388|HP:0001080|HP:0000405|HP:0001263|HP:0001540|HP:0000154|HP:0000475|HP:0000175|HP:0004325|HP:0000463|HP:0000013|HP:0000505|HP:0000648|HP:0008905|HP:0000311|HP:0001770|HP:0000316|HP:0000518|HP:0007957|HP:0001629|HP:0007370|HP:0000073|HP:0000501|HP:0002000|HP:0000028|HP:0008897|HP:0011065|HP:0000059|HP:0003278|HP:0002937|HP:0000482|HP:0000767|HP:0000384|HP:0001249|HP:0000347|HP:0000402|HP:0001631|HP:0008726|HP:0000200|HP:0000480|HP:0000003|HP:0001642|HP:0000233|HP:0005280|HP:0001274|HP:0001761|HP:0002023|HP:0004414|HP:0000582|HP:0001511|HP:0000830|HP:0003561|HP:0002644|HP:0000126|HP:0000248|HP:0000545|HP:0100819|HP:0010049|HP:0002650|HP:0006887|HP:0008873|HP:0009623|HP:0000256|HP:0002119|HP:0001159|HP:0001537|HP:0001558|HP:0000238|HP:0000252|HP:0004279|HP:0000204|HP:0008872|HP:0010743|HP:0006610|HP:0002219|HP:0001156|HP:0002059|HP:0002263|HP:0002996|HP:0008678|HP:0007833|HP:0008569|HP:0000219|HP:0001561|HP:0005608|HP:0001250|HP:0012745|HP:0003298|HP:0000612|HP:0004209|HP:0000023|HP:0000343|HP:0004467|HP:0000060|HP:0011220
MONDO:0009953	0	26		HP:0001773|HP:0000739|HP:0011950|HP:0001574|HP:0005400|HP:0010864|HP:0100658|HP:0000414|HP:0002120|HP:0000252|HP:0010529|HP:0000717|HP:0000280|HP:0004322|HP:0001156|HP:0000403|HP:0002090|HP:0000349|HP:0000722|HP:0001263|HP:0000704|HP:0001939|HP:0001252|HP:0001290|HP:0002373|HP:0006887
MONDO:0010006	0	36		HP:0002380|HP:0001260|HP:0000256|HP:0002205|HP:0001324|HP:0006901|HP:0007272|HP:0001278|HP:0000020|HP:0000280|HP:0000975|HP:0001347|HP:0001744|HP:0002240|HP:0010729|HP:0002028|HP:0001640|HP:0000365|HP:0000293|HP:0100022|HP:0001635|HP:0002333|HP:0002652|HP:0000158|HP:0000618|HP:0001251|HP:0000802|HP:0001433|HP:0004343|HP:0001250|HP:0000966|HP:0003202|HP:0002574|HP:0001508|HP:0002808|HP:0002493
MONDO:0010013	0	32		HP:0000272|HP:0008873|HP:0000774|HP:0000256|HP:0001800|HP:0000175|HP:0005616|HP:0005019|HP:0031026|HP:0003300|HP:0008108|HP:0000947|HP:0004233|HP:0000895|HP:0003038|HP:0001004|HP:0000946|HP:0003180|HP:0012107|HP:0001156|HP:0000268|HP:0002983|HP:0011800|HP:0003025|HP:0008479|HP:0001561|HP:0000773|HP:0001231|HP:0000028|HP:0000882|HP:0000907|HP:0000470
MONDO:0010088	1	48	HP:0008155	HP:0001249|HP:0000943|HP:0000256|HP:0002119|HP:0011096|HP:0007305|HP:0000574|HP:0007703|HP:0000518|HP:0002376|HP:0007957|HP:0003134|HP:0000238|HP:0002922|HP:0000252|HP:0100539|HP:0000648|HP:0000280|HP:0001257|HP:0001744|HP:0000319|HP:0002395|HP:0005280|HP:0002240|HP:0004322|HP:0002518|HP:0008064|HP:0001272|HP:0000365|HP:0002208|HP:0002059|HP:0000407|HP:0007307|HP:0001387|HP:0001251|HP:0008479|HP:0010059|HP:0001263|HP:0001319|HP:0002003|HP:0001250|HP:0012368|HP:0011304|HP:0010055|HP:0000546|HP:0000463|HP:0000505|HP:0011220
MONDO:0010099	0	37		HP:0000739|HP:0002835|HP:0002072|HP:0007256|HP:0012547|HP:0002476|HP:0002371|HP:0002376|HP:0002267|HP:0030081|HP:0001285|HP:0001347|HP:0100543|HP:0004322|HP:0010729|HP:0002059|HP:0010780|HP:0000719|HP:0030904|HP:0000726|HP:0003495|HP:0000618|HP:0002478|HP:0002200|HP:0001332|HP:0001263|HP:0001276|HP:0002180|HP:0008936|HP:0001250|HP:0009062|HP:0002421|HP:0000741|HP:0008897|HP:0001252|HP:0001290|HP:0003470
